Restaurant Name,Category Name,Latitude,Longitude,Distance,Rating,Number of Reviews,Price Point,Bike Station Lat,Bike Station Lon
Jaclyn's,caribbean,43.66627,-79.31802,172.3751336,4.5,16,no data,43.665269,-79.319796
Lake Inez,bars,43.67234,-79.32064,794.661955,4.5,94,$$$,43.665269,-79.319796
Casa Di Giorgios,italian,43.6668499,-79.31518,408.7157245,4,75,$$,43.665269,-79.319796
Tulia Osteria,pizza,43.66487,-79.32425,365.1153942,5,1,no data,43.665269,-79.319796
Betty’s East,salad,43.663455,-79.327992,689.7787206,4,5,no data,43.665269,-79.319796
Beach Club,seafood,43.6632065,-79.3100133,839.3120734,3,19,no data,43.665269,-79.319796
Maru Japanese Bistro,japanese,43.66471996,-79.32426283,364.448505,4,17,no data,43.665269,-79.319796
Le Conciliabule,bakeries,43.671365,-79.3272249,903.6090778,4.5,13,no data,43.665269,-79.319796
The Sidekick,cafes,43.6645889,-79.3251114,436.0032949,4.5,31,$,43.665269,-79.319796
Puerto Bravo,mexican,43.67203,-79.32231,777.9806692,4.5,4,no data,43.665269,-79.319796
Mattachioni,grocery,43.67264,-79.31973,815.1485645,4.5,5,no data,43.665269,-79.319796
British Style Fish & Chips,fishnchips,43.66861,-79.31723,426.6274769,4,53,$,43.665269,-79.319796
The Burger's Priest,burgers,43.66669959,-79.3155846,374.2380726,3.5,507,$$,43.665269,-79.319796
Yaya Greek Bistro,breakfast_brunch,43.66307838,-79.33178893,994.967613,4,82,$$,43.665269,-79.319796
Good Behaviour,sandwiches,43.67162641,-79.32564631,849.2026845,4.5,11,no data,43.665269,-79.319796
Chick-N-Joy,hotdogs,43.66509,-79.32132,125.4831324,4,57,$,43.665269,-79.319796
O Sushi,sushi,43.66654,-79.31693,277.5695824,4,61,$$,43.665269,-79.319796
Toto Sushi,japanese,43.672262,-79.3212267,786.0540023,4.5,32,no data,43.665269,-79.319796
Jules Bistro,bistros,43.66389,-79.32859,724.0458166,3.5,31,no data,43.665269,-79.319796
Black Pony,cafes,43.67241,-79.3204,805.5180733,4.5,8,no data,43.665269,-79.319796
Maha's,egyptian,43.67167,-79.32853,1005.190035,4,599,$$,43.665269,-79.319796
GG's,burgers,43.6632065,-79.3100133,839.3120734,3.5,4,no data,43.665269,-79.319796
Burrito Bandidos,mexican,43.6665611,-79.3164215,286.249065,3.5,58,$$,43.665269,-79.319796
Nodo Leslieville,italian,43.66311,-79.33162,983.1152025,4,37,no data,43.665269,-79.319796
Gio Rana's Really Really Nice Restaurant,italian,43.66333534,-79.33041893,881.1241172,4,229,$$$,43.665269,-79.319796
Occasions Restaurant,greek,43.67338,-79.31823,908.6517424,4,46,$$,43.665269,-79.319796
McDonald's,hotdogs,43.6650808,-79.3192955,32.41673667,2.5,24,$,43.665269,-79.319796
Hastings Snack Bar,polish,43.66381,-79.32893,755.3857132,4.5,42,$,43.665269,-79.319796
Lazy Daisy's Cafe,cafes,43.6726699,-79.3194,828.6620562,4,152,$$,43.665269,-79.319796
BIRDIES Fried Chicken,chickenshop,43.6732457,-79.3191636,888.1996124,4.5,10,no data,43.665269,-79.319796
Simple Coffee,cafes,43.6668164,-79.3156156,377.7194533,4.5,2,no data,43.665269,-79.319796
Karma's Kitchen,himalayan,43.67183,-79.32305,772.1052135,4,62,$$,43.665269,-79.319796
Bombay Chowpatty,indpak,43.67198226,-79.32437406,832.357744,3,58,$,43.665269,-79.319796
Leslie Jones,comfortfood,43.6628904,-79.3318366,1003.990118,4,76,$$,43.665269,-79.319796
The Thirsty Loon,bars,43.67239418,-79.31990607,792.3322185,4,1,no data,43.665269,-79.319796
Leela Indian Food Bar,indpak,43.6719741,-79.3243773,829.0861018,4,17,no data,43.665269,-79.319796
Shawarma Day,mediterranean,43.666463,-79.316964,262.2290984,0,0,no data,43.665269,-79.319796
Desi Burger,hotdogs,43.6718199,-79.3247,828.4504181,4,16,no data,43.665269,-79.319796
Regency Restaurant,indpak,43.67201,-79.32238,779.0130455,4,79,$$,43.665269,-79.319796
Shawarma Day,mediterranean,43.666463,-79.316964,262.2290984,0,0,no data,43.665269,-79.319796
The Famous Indian Cuisine,indpak,43.6721178,-79.32321958,809.80674,4,66,$$,43.665269,-79.319796
Lahore Chaat & Desi Burger House,pakistani,43.67188,-79.3246,836.073363,4,16,$,43.665269,-79.319796
Mumbai Frankie,indpak,43.67196,-79.32433,829.0861018,0,0,no data,43.665269,-79.319796
Lahore Tikka House,halal,43.67148,-79.32451,787.4737978,3.5,544,$$,43.665269,-79.319796
JP Restaurant,pubs,43.67303,-79.31955,868.716398,3.5,10,no data,43.665269,-79.319796
Blondies,pizza,43.66683,-79.3302099,861.4874303,4,53,no data,43.665269,-79.319796
The Social Gardener,vegan,43.6716439,-79.3253848,839.3721468,3.5,5,$,43.665269,-79.319796
Maestro Omar’s Gourmet Pizza,pizza,43.66906,-79.31196,760.3739599,4,8,no data,43.665269,-79.319796
Tea N Bannock,tradamerican,43.671182,-79.3273557,895.5565315,4.5,47,$$,43.665269,-79.319796
Sushi On Gerrard,sushi,43.670655,-79.328144,904.0855015,0,0,no data,43.665269,-79.319796
Agio,italian,43.67599,-79.45066,646.471211,4.5,190,$$,43.67142,-79.445947
North Of Brooklyn,pizza,43.66922726,-79.43916335,597.6101584,4,44,no data,43.67142,-79.445947
Famiglia Baldassarre,italian,43.67052,-79.4350599,888.6585807,4.5,74,$$,43.67142,-79.445947
Rush Hour,portuguese,43.67111,-79.44037,440.3807915,4.5,48,$$,43.67142,-79.445947
Parallel,mediterranean,43.66944508,-79.43858039,631.8823306,4,105,$$,43.67142,-79.445947
Meta Dos Leitoes,portuguese,43.66984,-79.43848,622.2462798,4.5,7,$$,43.67142,-79.445947
The Sovereign,cafes,43.67299,-79.44002,506.7789643,4.5,36,$$,43.67142,-79.445947
Love Chix,chickenshop,43.6696641,-79.4486514,292.2904736,4,44,$$,43.67142,-79.445947
Century Park Tavern,breakfast_brunch,43.6696641,-79.44877238,299.6021922,3.5,3,no data,43.67142,-79.445947
King's Tacos,mexican,43.67803,-79.4440599,748.002523,4,81,$$,43.67142,-79.445947
Rio 40 Restaurant,brazilian,43.677457,-79.446485,672.12287,4,63,$$,43.67142,-79.445947
Defina Wood Fired,pizza,43.66578,-79.4502399,711.2083598,3.5,26,no data,43.67142,-79.445947
Brasa Peruvian Kitchen,salad,43.66551084,-79.4496221,720.4972412,5,8,no data,43.67142,-79.445947
El Sazón Mexicano,mexican,43.67706084,-79.44778737,644.4584382,4,11,no data,43.67142,-79.445947
CANO Restaurant,italian,43.67871,-79.44058,920.0498725,4.5,71,$$,43.67142,-79.445947
BSTO.,comfortfood,43.67694637,-79.44849606,647.7983731,5,1,no data,43.67142,-79.445947
Piri Piri Grill,portuguese,43.66625153,-79.44977626,652.0344442,3.5,52,$$,43.67142,-79.445947
Good Behaviour,icecream,43.67077102,-79.434624,913.5514326,4.5,47,no data,43.67142,-79.445947
La Morena,cafes,43.67771968,-79.44343116,729.1281879,5,8,no data,43.67142,-79.445947
Itacate,mexican,43.67939085,-79.43716116,1133.499452,4.5,57,$$,43.67142,-79.445947
A Ria Restaurante,portuguese,43.6766331,-79.44975682,655.6681649,4,2,no data,43.67142,-79.445947
Atomic 10,mexican,43.67849,-79.43952,931.635048,4.5,30,no data,43.67142,-79.445947
Royal Caribbean Cafe,caribbean,43.67813,-79.44103,843.8130431,4,29,$$,43.67142,-79.445947
Don Quixote,portuguese,43.6763235,-79.4494733,607.5270956,4,5,no data,43.67142,-79.445947
La Bruschetta Restaurant,italian,43.67642,-79.4487599,600.3999691,4,39,$$$,43.67142,-79.445947
DUCKiiN,fooddeliveryservices,43.6704457,-79.4490499,276.0104127,0,0,no data,43.67142,-79.445947
Tre Mari Bakery,bakeries,43.6765,-79.44868,600.1521334,4.5,94,$,43.67142,-79.445947
Dairy Freeze,burgers,43.6751174,-79.4548844,828.0712606,3,73,$,43.67142,-79.445947
Marcello’s pizzeria,pizza,43.67783,-79.4425399,769.5753009,4,102,$$,43.67142,-79.445947
Gaucho Pie,argentine,43.67104325,-79.43478607,898.6369769,4.5,9,no data,43.67142,-79.445947
Kaito Sushi,sushi,43.67737,-79.44452,671.813579,3.5,32,no data,43.67142,-79.445947
Koji Japanese Restaurant,sushi,43.66532471,-79.45280768,873.9979542,4.5,38,$$,43.67142,-79.445947
Big Trouble Pizza,pizza,43.66968493,-79.4373848,715.1697408,5,4,no data,43.67142,-79.445947
Burger Land,burgers,43.676041,-79.450698,646.471211,5,1,no data,43.67142,-79.445947
Lucia,italian,43.66494,-79.45418,981.6022885,4,11,no data,43.67142,-79.445947
DeSotos Eatery,gastropubs,43.6786263,-79.4396588,947.5439424,4,84,$$,43.67142,-79.445947
Boo Radley's Junction Bar and Grill,bars,43.66614,-79.45028,690.4815139,3.5,46,$$,43.67142,-79.445947
The Morning Star Restaurant,restaurants,43.66923,-79.4422,384.7334862,2.5,2,$,43.67142,-79.445947
Hot Slice Pizza,pizza,43.67275,-79.441,421.3613671,0,0,no data,43.67142,-79.445947
Barista & Chef,mediterranean,43.6794533,-79.4374528,1124.536457,4.5,53,$$,43.67142,-79.445947
Mattachioni,italian,43.66487589,-79.45497255,1027.866947,4,45,$$,43.67142,-79.445947
Frank’s Pizza House,pizza,43.67686,-79.44926,659.0933696,3.5,99,$$,43.67142,-79.445947
Tuckshop Kitchen,sandwiches,43.66499,-79.45568,1062.84922,4.5,56,$,43.67142,-79.445947
Colombian Street Food by Cookie Martinez,colombian,43.66532723,-79.45313432,890.6060362,4.5,2,no data,43.67142,-79.445947
Taqueria Gus,mexican,43.66309,-79.43556,1247.16975,5,3,no data,43.67142,-79.445947
Pizza e Pazzi,pizza,43.678,-79.44385893,750.6863489,4,90,$$,43.67142,-79.445947
Rain Sushi,sushi,43.67597,-79.45069,646.0233045,4.5,6,no data,43.67142,-79.445947
El Mae Restaurant,latin,43.677778,-79.4426067,756.2956743,0,0,no data,43.67142,-79.445947
Lox + Schmear,bagels,43.67929,-79.43823,1060.46642,4.5,40,$,43.67142,-79.445947
El Rancherito,colombian,43.6748467,-79.4578909,1033.412806,3.5,18,$,43.67142,-79.445947
Jaclyn's,caribbean,43.66627,-79.31802,29.25726257,4.5,16,no data,43.666224,-79.317693
Casa Di Giorgios,italian,43.6668499,-79.31518,211.834095,4,75,$$,43.666224,-79.317693
Lake Inez,bars,43.67234,-79.32064,726.2105824,4.5,94,$$$,43.666224,-79.317693
Tulia Osteria,pizza,43.66487,-79.32425,553.9020761,5,1,no data,43.666224,-79.317693
Beach Club,seafood,43.6632065,-79.3100133,735.5028477,3,19,no data,43.666224,-79.317693
Betty’s East,salad,43.663455,-79.327992,884.1493841,4,5,no data,43.666224,-79.317693
The Burger's Priest,burgers,43.66669959,-79.3155846,177.6432598,3.5,507,$$,43.666224,-79.317693
O Sushi,sushi,43.66654,-79.31693,78.63482296,4,61,$$,43.666224,-79.317693
Le Conciliabule,bakeries,43.671365,-79.3272249,956.3312078,4.5,13,no data,43.666224,-79.317693
Puerto Bravo,mexican,43.67203,-79.32231,744.6803621,4.5,4,no data,43.666224,-79.317693
British Style Fish & Chips,fishnchips,43.66861,-79.31723,269.5177252,4,53,$,43.666224,-79.317693
Maru Japanese Bistro,japanese,43.66471996,-79.32426283,554.2860781,4,17,no data,43.666224,-79.317693
Burrito Bandidos,mexican,43.6665611,-79.3164215,98.63227407,3.5,58,$$,43.666224,-79.317693
Mattachioni,grocery,43.67264,-79.31973,728.47,4.5,5,no data,43.666224,-79.317693
Simple Coffee,cafes,43.6668164,-79.3156156,179.6109754,4.5,2,no data,43.666224,-79.317693
The Sidekick,cafes,43.6645889,-79.3251114,625.5297679,4.5,31,$,43.666224,-79.317693
Occasions Restaurant,greek,43.67338,-79.31823,795.2799228,4,46,$$,43.666224,-79.317693
Toto Sushi,japanese,43.672262,-79.3212267,729.0757804,4.5,32,no data,43.666224,-79.317693
Good Behaviour,sandwiches,43.67162641,-79.32564631,877.542005,4.5,11,no data,43.666224,-79.317693
GG's,burgers,43.6632065,-79.3100133,735.5028477,3.5,4,no data,43.666224,-79.317693
Sauvignon Bistro,newcanadian,43.668453,-79.307099,887.4319124,4,42,$$$,43.666224,-79.317693
Black Pony,cafes,43.67241,-79.3204,732.1834312,4.5,8,no data,43.666224,-79.317693
Shawarma Day,mediterranean,43.666463,-79.316964,63.94619848,0,0,no data,43.666224,-79.317693
Shawarma Day,mediterranean,43.666463,-79.316964,63.94619848,0,0,no data,43.666224,-79.317693
Maha's,egyptian,43.67167,-79.32853,1066.412136,4,599,$$,43.666224,-79.317693
Lazy Daisy's Cafe,cafes,43.6726699,-79.3194,735.3127654,4,152,$$,43.666224,-79.317693
BIRDIES Fried Chicken,chickenshop,43.6732457,-79.3191636,789.4736394,4.5,10,no data,43.666224,-79.317693
Hastings Snack Bar,polish,43.66381,-79.32893,946.0044248,4.5,42,$,43.666224,-79.317693
Chick-N-Joy,hotdogs,43.66509,-79.32132,319.9391251,4,57,$,43.666224,-79.317693
Jules Bistro,bistros,43.66389,-79.32859,915.43535,3.5,31,no data,43.666224,-79.317693
Karma's Kitchen,himalayan,43.67183,-79.32305,755.6731487,4,62,$$,43.666224,-79.317693
The Thirsty Loon,bars,43.67239418,-79.31990607,708.8060407,4,1,no data,43.666224,-79.317693
McDonald's,hotdogs,43.6650808,-79.3192955,170.1876189,2.5,24,$,43.666224,-79.317693
Bombay Chowpatty,indpak,43.67198226,-79.32437406,835.902608,3,58,$,43.666224,-79.317693
Maestro Omar’s Gourmet Pizza,pizza,43.66906,-79.31196,560.694994,4,8,no data,43.666224,-79.317693
Pachira Asian Cuisine,chinese,43.66649,-79.31686,72.3806461,1,1,$,43.666224,-79.317693
Regency Restaurant,indpak,43.67201,-79.32238,747.3465997,4,79,$$,43.666224,-79.317693
Leela Indian Food Bar,indpak,43.6719741,-79.3243773,833.2911411,4,17,no data,43.666224,-79.317693
Desi Burger,hotdogs,43.6718199,-79.3247,839.9463247,4,16,no data,43.666224,-79.317693
The Famous Indian Cuisine,indpak,43.6721178,-79.32321958,791.8885778,4,66,$$,43.666224,-79.317693
JP Restaurant,pubs,43.67303,-79.31955,776.8618621,3.5,10,no data,43.666224,-79.317693
Lahore Chaat & Desi Burger House,pakistani,43.67188,-79.3246,845.6703369,4,16,$,43.666224,-79.317693
Mumbai Frankie,indpak,43.67196,-79.32433,833.2911411,0,0,no data,43.666224,-79.317693
Lahore Tikka House,halal,43.67148,-79.32451,802.9975418,3.5,544,$$,43.666224,-79.317693
Butter Chicken Roti,indpak,43.66639729,-79.3168252,72.41293906,2.5,13,no data,43.666224,-79.317693
The Social Gardener,vegan,43.6716439,-79.3253848,863.6850306,3.5,5,$,43.666224,-79.317693
Tea N Bannock,tradamerican,43.671182,-79.3273557,952.8708057,4.5,47,$$,43.666224,-79.317693
Sushi On Gerrard,sushi,43.670655,-79.328144,976.1584531,0,0,no data,43.666224,-79.317693
Motimahal,indpak,43.6723799,-79.32265,790.1981674,3.5,112,$,43.666224,-79.317693
Udupi Palace,indpak,43.67273,-79.3210299,776.9763783,3.5,208,$$,43.666224,-79.317693
Richmond Station,newcanadian,43.6513729,-79.379285,292.6389211,4.5,906,$$$,43.653236,-79.376716
The Rabbit Hole,gastropubs,43.64995,-79.37976,426.2887524,4,36,no data,43.653236,-79.376716
Mogouyan Hand-Pulled Noodles,noodles,43.65573,-79.38449,681.0174839,4.5,66,$$,43.653236,-79.376716
Cafe Oro Di Napoli,pizza,43.65142571,-79.3721592,418.2400801,4.5,97,$$,43.653236,-79.376716
Katsuya,japanese,43.65995,-79.37882,768.495745,4.5,497,$$,43.653236,-79.376716
Amano Trattoria,italian,43.64778,-79.37319,646.7952231,4.5,24,no data,43.653236,-79.376716
Pearl Diver,seafood,43.65163,-79.37375,300.7711619,4,629,$$,43.653236,-79.376716
Haidilao Hot Pot,chinese,43.65463298,-79.379839,295.3926549,5,33,no data,43.653236,-79.376716
Beerbistro,bistros,43.64946713,-79.37716965,420.6646117,4,681,$$,43.653236,-79.376716
The Senator,breakfast_brunch,43.65574,-79.37896,334.0862516,4,492,$$,43.653236,-79.376716
Som Tum Jinda,thai,43.66019851,-79.3782113,783.484486,5,8,no data,43.653236,-79.376716
Bob's Bulgogi,korean,43.652139,-79.377507,137.5833836,4,89,$,43.653236,-79.376716
Hendriks Restaurant & Bar,tradamerican,43.653501,-79.380048,269.6830053,4,116,$$$,43.653236,-79.376716
The Carbon Bar,bbq,43.653088,-79.374829,151.1124955,4,419,$$$,43.653236,-79.376716
Laylak Lebanese Cuisine,lebanese,43.65070215,-79.3761808,285.0219285,4.5,10,no data,43.653236,-79.376716
Hana Don,japanese,43.65572,-79.38454,690.5955016,4.5,16,no data,43.653236,-79.376716
Twilight Cafe,cafes,43.65552,-79.37961,347.9538417,4,9,no data,43.653236,-79.376716
King Taps,newcanadian,43.64863793,-79.3817439,651.9579259,4,400,$$,43.653236,-79.376716
Gyukatsu Kyoto Katsugyu,japanese,43.65687,-79.37616,412.2541837,4,156,$$,43.653236,-79.376716
Pai Northern Thai Kitchen,thai,43.64784,-79.38872,1133.079488,4.5,3475,$$,43.653236,-79.376716
KINKA IZAKAYA ORIGINAL,japanese,43.66042407,-79.37890046,818.3672641,4,1814,$$,43.653236,-79.376716
Cactus Club Cafe,cocktailbars,43.64950421,-79.38251803,624.5757407,4,603,$$,43.653236,-79.376716
George Restaurant,newcanadian,43.65337264,-79.37432933,192.6142793,4.5,298,$$$$,43.653236,-79.376716
Chefs Hall,food_court,43.6503522,-79.3837951,653.6126788,4,320,$$,43.653236,-79.376716
Carisma,italian,43.65032,-79.37596,331.2527023,4,200,$$$,43.653236,-79.376716
Moon Palace,seafood,43.6561951,-79.38240341,563.5811522,4,60,no data,43.653236,-79.376716
Gyu-Kaku Japanese BBQ,japanese,43.6515,-79.37482,233.7895351,4,206,$$$,43.653236,-79.376716
Hokkaido Ramen Santouka,ramen,43.65632173,-79.37749958,348.8602506,4,896,$$,43.653236,-79.376716
Adobar,filipino,43.65738,-79.37396,508.7732463,5,5,no data,43.653236,-79.376716
Grandma Loves You,hotdog,43.65030223,-79.3839517,667.3189498,4.5,11,no data,43.653236,-79.376716
Egg Club,coffee,43.65655,-79.37793,377.4746269,4.5,134,$,43.653236,-79.376716
The Queen And Beaver Public House,pubs,43.65734,-79.38334,699.7921069,4,414,$$,43.653236,-79.376716
Trattoria Mercatto,italian,43.65367,-79.38007,285.8956603,3.5,236,$$,43.653236,-79.376716
Horangee Sikdang,korean,43.660605,-79.382602,946.3747857,4.5,42,no data,43.653236,-79.376716
11:59 Bar:Café,cocktailbars,43.65048542,-79.38199129,523.1427125,4,4,no data,43.653236,-79.376716
Piano Piano,pizza,43.64897516,-79.3746921,500.9842218,4,29,no data,43.653236,-79.376716
Trios Bistro,newcanadian,43.6545725,-79.3830233,528.7489596,4,22,$$,43.653236,-79.376716
Teller's Bar and Lounge,international,43.64882,-79.37805,500.252004,4.5,5,$$,43.653236,-79.376716
Woods Restaurant & Bar,newcanadian,43.6489963,-79.3750324,490.5066983,4,96,$$$,43.653236,-79.376716
GB Hand-pulled Noodles,chinese,43.65669,-79.38385,678.9205137,4,581,$$,43.653236,-79.376716
Mado Yonge,turkish,43.651179,-79.379058,297.1750288,4,16,no data,43.653236,-79.376716
Liko's Hawaiian BBQ,foodtrucks,43.6516,-79.38331,529.9998333,4,4,no data,43.653236,-79.376716
Daldongnae Korean BBQ - Dundas Square,korean,43.658244,-79.381345,672.7241533,4.5,11,no data,43.653236,-79.376716
Congee Queen,cantonese,43.658302,-79.381986,705.0325249,4,48,$$,43.653236,-79.376716
Library Bar,lounges,43.6461717,-79.3811365,862.2803532,4,128,$$$,43.653236,-79.376716
Fusaro's,italian,43.65341,-79.36956,573.7240213,4,92,$$,43.653236,-79.376716
Terroni,italian,43.6508,-79.3756,282.6465757,3.5,790,$$,43.653236,-79.376716
The Poke Box,salad,43.6505,-79.37657,321.8673123,4.5,180,$$,43.653236,-79.376716
Vietlicious Toronto,vietnamese,43.65733983,-79.3810403,573.8117499,4.5,5,no data,43.653236,-79.376716
FAMO Sandwiches,sandwiches,43.65404,-79.36956,590.0170074,4.5,34,$$,43.653236,-79.376716
Kintaro Izakaya,japanese,43.66417,-79.38006,52.83519431,4,246,$$,43.663722,-79.380288
Horangee Sikdang,korean,43.660605,-79.382602,393.4154721,4.5,42,no data,43.663722,-79.380288
Katsuya,japanese,43.65995,-79.37882,432.975108,4.5,497,$$,43.663722,-79.380288
Som Tum Jinda,thai,43.66019851,-79.3782113,425.92144,5,8,no data,43.663722,-79.380288
Lao Lao Bar,laotian,43.665799,-79.385537,489.1168824,4.5,45,no data,43.663722,-79.380288
Hair of the Dog,pubs,43.66294682,-79.37959287,102.7436094,4,369,$$,43.663722,-79.380288
KINKA IZAKAYA ORIGINAL,japanese,43.66042407,-79.37890046,383.322571,4,1814,$$,43.663722,-79.380288
Sinjeon Topokki,korean,43.66115,-79.37869,309.7401158,4.5,8,no data,43.663722,-79.380288
Afuri,ramen,43.66272786,-79.37943784,129.9860207,4,22,no data,43.663722,-79.380288
Sanuki Udon,japanese,43.66162,-79.38153,257.4529509,4,26,no data,43.663722,-79.380288
Pocha 1989,korean,43.66531,-79.38099,176.3187909,3.5,21,no data,43.663722,-79.380288
Loaded Pierogi,bars,43.66470441,-79.38065586,113.1754124,4,28,$$,43.663722,-79.380288
Si Lom Thai Bistro,thai,43.66503,-79.38082,150.8469389,4,200,$$,43.663722,-79.380288
Gurume Sushi,sushi,43.66139146,-79.38099527,265.3156091,5,53,no data,43.663722,-79.380288
Mogouyan Hand-Pulled Noodles,noodles,43.65573,-79.38449,954.1351089,4.5,66,$$,43.663722,-79.380288
Egg Club Wellesley,breakfast_brunch,43.6642,-79.38389,305.472054,4.5,39,$,43.663722,-79.380288
Mabu Generation,taiwanese,43.66509562,-79.38482992,395.9857807,4,54,$$,43.663722,-79.380288
The Cherie  Bistro,italian,43.66512697,-79.3808928,163.624671,4,25,no data,43.663722,-79.380288
The Bar Jokbal Night Market,korean,43.667725,-79.385608,611.5800533,4.5,4,no data,43.663722,-79.380288
Dakgogi,korean,43.66502939,-79.3832693,280.4325332,3,37,$$,43.663722,-79.380288
Soy Boys,vegan,43.66447,-79.38004,79.47181056,4.5,9,no data,43.663722,-79.380288
Torch Pressed Sushi,japanese,43.66590932,-79.38082304,246.9970012,4.5,73,$$,43.663722,-79.380288
Stuu Stuu,japanese,43.66607425,-79.3809316,266.6320953,5,2,no data,43.663722,-79.380288
Koyoi Restaurant & Bar,japanese,43.66667863,-79.38546762,530.7224978,4,135,$$,43.663722,-79.380288
Mogouyan Hand-Pulled Noodles,noodles,43.66943,-79.38671,815.9742293,4,89,$$,43.663722,-79.380288
The Carlton Restaurant,newcanadian,43.6617125,-79.3811043,232.8943221,4.5,7,no data,43.663722,-79.380288
Storm Crow Manor,bars,43.66674896,-79.38164312,353.7921306,4,147,$$,43.663722,-79.380288
The Churchmouse: A Firkin Pub,pubs,43.66461125,-79.38014651,99.53303049,3.5,84,$$,43.663722,-79.380288
Okonomi House Restaurant,japanese,43.66831107,-79.38713375,750.7287906,4,316,$,43.663722,-79.380288
Hotopia,chinese,43.66138,-79.3804,254.9499522,3.5,28,no data,43.663722,-79.380288
Darvish Restaurant,persian,43.66337,-79.38412,309.6541388,4,118,$$,43.663722,-79.380288
Sang-Ji Fried Bao,dumplings,43.6686,-79.385637,696.2390903,4.5,10,no data,43.663722,-79.380288
Tokyo Kitchen,japanese,43.66909401,-79.38511244,712.3206557,4,168,$$,43.663722,-79.380288
BOKU,ramen,43.6640394,-79.3844623,343.2818621,3.5,31,no data,43.663722,-79.380288
Sunny Taiwanese Breakfast,breakfast_brunch,43.663856,-79.386461,493.3047865,4,1,no data,43.663722,-79.380288
The Senator,breakfast_brunch,43.65574,-79.37896,892.664212,4,492,$$,43.663722,-79.380288
Globol Restaurants,indpak,43.66206,-79.38003,170.265756,5,1,no data,43.663722,-79.380288
Edomae Kiyomi,sushi,43.66012,-79.37813,426.9042892,4,30,$$$$,43.663722,-79.380288
Daldongnae Korean BBQ - Dundas Square,korean,43.658244,-79.381345,620.9201925,4.5,11,no data,43.663722,-79.380288
Congee Queen,cantonese,43.658302,-79.381986,617.9606273,4,48,$$,43.663722,-79.380288
Gyukatsu Kyoto Katsugyu,japanese,43.65687,-79.37616,823.0274131,4,156,$$,43.663722,-79.380288
More Natas Please,desserts,43.66950221,-79.38661024,819.5748772,4,9,no data,43.663722,-79.380288
Mr.Tonkatsu,japanese,43.66434,-79.38454,346.8242765,4,81,$$,43.663722,-79.380288
The Queen And Beaver Public House,pubs,43.65734,-79.38334,750.2916296,4,414,$$,43.663722,-79.380288
Maison Selby,french,43.67127278,-79.37660005,890.4682378,4,114,no data,43.663722,-79.380288
Miss Fu In Chengdu,chinese,43.66748,-79.38535,588.1784617,4,8,no data,43.663722,-79.380288
O'Grady's Restaurant,newcanadian,43.66446985,-79.3806803,88.94312095,3,133,$$,43.663722,-79.380288
Super Chicken,burgers,43.66627966,-79.38530067,493.4137014,5,1,no data,43.663722,-79.380288
Bocconcini Toronto,pizza,43.6603,-79.37748,448.7980885,4.5,24,no data,43.663722,-79.380288
Four Four South Village,taiwanese,43.66228877,-79.38363393,312.790257,3.5,118,no data,43.663722,-79.380288
Mogouyan Hand-Pulled Noodles,noodles,43.65573,-79.38449,442.3264604,4.5,66,$$,43.657763,-79.389165
Yuugi Izakaya,japanese,43.65574,-79.39382,436.7510328,4.5,83,no data,43.657763,-79.389165
Hana Don,japanese,43.65572,-79.38454,432.7536684,4.5,16,no data,43.657763,-79.389165
Horangee Sikdang,korean,43.660605,-79.382602,615.3108818,4.5,42,no data,43.657763,-79.389165
Katsuya,japanese,43.65995,-79.37882,871.007125,4.5,497,$$,43.657763,-79.389165
The Queen And Beaver Public House,pubs,43.65734,-79.38334,473.2283897,4,414,$$,43.657763,-79.389165
Soya Mandarin Kitchen,chinese,43.65588,-79.39329,393.3228045,4,38,no data,43.657763,-79.389165
Gyubee Japanese Grill - Dundas,japanese,43.6551427,-79.3857634,393.410996,4.5,210,$$$,43.657763,-79.389165
Dzo Viet Eatery,vietnamese,43.65445,-79.39178,425.6748377,4,150,$$,43.657763,-79.389165
Dear Saigon,vietnamese,43.65873314,-79.39439,433.9528762,4,18,no data,43.657763,-79.389165
Omai Restaurant,japanese,43.6561,-79.39234,337.243246,4,126,$$,43.657763,-79.389165
Manpuku Japanese Eatery,japanese,43.65406,-79.39101,476.0999776,4,517,$,43.657763,-79.389165
Som Tum Jinda,thai,43.66019851,-79.3782113,921.8490398,5,8,no data,43.657763,-79.389165
Holy Cow Japanese Steakhouse,steak,43.64993,-79.39145,876.7258424,4.5,158,$$$,43.657763,-79.389165
KINKA IZAKAYA ORIGINAL,japanese,43.66042407,-79.37890046,877.1467902,4,1814,$$,43.657763,-79.389165
Moon Palace,seafood,43.6561951,-79.38240341,571.2114797,4,60,no data,43.657763,-79.389165
Richmond Station,newcanadian,43.6513729,-79.379285,1066.148496,4.5,906,$$$,43.657763,-79.389165
GB Hand-pulled Noodles,chinese,43.65669,-79.38385,456.0417772,4,581,$$,43.657763,-79.389165
Yubu,sushi,43.65867999,-79.39508367,486.9302847,4,9,no data,43.657763,-79.389165
Lao Lao Bar,laotian,43.665799,-79.385537,932.2753833,4.5,45,no data,43.657763,-79.389165
Mom's Pan-Fried Buns,chinese,43.65532939,-79.38661928,339.3661423,4,18,no data,43.657763,-79.389165
The Senator,breakfast_brunch,43.65574,-79.37896,848.4784848,4,492,$$,43.657763,-79.389165
Congee Queen,cantonese,43.658302,-79.381986,580.6265471,4,48,$$,43.657763,-79.389165
